Date,Open,High,Low,Close,Adj Close,Volume
2020-01-14,115.470001,116.209999,115.129997,116.180000,116.180000,6585800
2020-01-15,114.629997,115.870003,114.519997,115.279999,115.279999,7454200
2020-01-16,115.500000,115.930000,115.279999,115.900002,115.900002,5369400
2020-01-17,116.050003,116.300003,114.639999,114.959999,114.959999,10045000
2020-01-21,114.589996,115.690002,114.519997,115.589996,115.589996,7353700
2020-01-22,115.220001,116.529999,115.180000,116.099998,116.099998,4926100
2020-01-23,116.209999,116.309998,115.040001,115.809998,115.809998,4305100
2020-01-24,116.000000,116.029999,114.150002,114.370003,114.370003,4383400
2020-01-27,113.190002,116.230003,112.680000,115.860001,115.860001,7018400
2020-01-28,115.980003,116.900002,115.949997,116.599998,116.599998,5270200
2020-01-29,116.559998,117.120003,115.889999,115.889999,115.889999,3775500
2020-01-30,115.610001,116.720001,115.330002,116.580002,116.580002,4581500
2020-01-31,115.800003,116.260002,113.900002,114.489998,114.489998,7775800
2020-02-03,114.900002,115.389999,114.099998,114.269997,114.269997,4351900
2020-02-04,115.239998,116.239998,114.889999,115.269997,115.269997,5232200
2020-02-05,115.599998,116.949997,114.849998,116.809998,116.809998,5682900
2020-02-06,116.830002,117.230003,116.059998,116.309998,116.309998,5352900
2020-02-07,116.110001,116.760002,115.760002,116.449997,116.449997,3689600
2020-02-10,115.750000,116.980003,115.050003,115.250000,115.250000,6144900
2020-02-11,115.430000,115.500000,114.440002,115.400002,115.400002,5796800
2020-02-12,115.500000,116.419998,115.410004,115.849998,115.849998,4735600
2020-02-13,115.849998,117.540001,115.580002,117.440002,117.440002,5333200
2020-02-14,117.669998,118.570000,117.160004,117.889999,117.889999,8130600
2020-02-18,118.470001,119.949997,117.360001,119.629997,119.629997,11513200
2020-02-19,119.500000,119.940002,117.680000,117.680000,117.680000,7187800
2020-02-20,117.209999,118.110001,116.860001,117.690002,117.690002,5022900
2020-02-21,117.440002,118.750000,117.309998,118.580002,118.580002,6242100
2020-02-24,117.459999,118.459999,115.949997,116.320000,116.320000,6616000
2020-02-25,116.349998,117.070000,114.050003,114.389999,114.389999,7764300
2020-02-26,114.699997,115.169998,113.650002,113.779999,113.779999,6673300
2020-02-27,112.559998,114.070000,110.349998,110.400002,110.400002,9492300
2020-02-28,107.690002,108.519997,104.370003,107.680000,107.680000,17504100
2020-03-02,107.599998,116.400002,107.290001,115.879997,115.879997,17074200
2020-03-03,116.080002,117.529999,112.339996,112.910004,112.910004,11113600
2020-03-04,114.239998,116.839996,113.470001,116.769997,116.769997,8208400
2020-03-05,114.400002,117.250000,113.910004,115.919998,115.919998,8546100
2020-03-06,113.870003,117.910004,113.010002,117.230003,117.230003,9803700
2020-03-09,113.820000,120.629997,112.730003,117.160004,117.160004,19747800
2020-03-10,118.099998,120.680000,114.919998,119.790001,119.790001,12599100
2020-03-11,117.510002,119.029999,112.800003,114.430000,114.430000,10540000
2020-03-12,106.019997,111.489998,102.980003,104.050003,104.050003,18774400
2020-03-13,108.239998,114.589996,103.879997,114.099998,114.099998,14316300
