Date, Close/Last, Volume, Open, High, Low
03/13/2020, $0.1637, 402786, $0.1625, $0.1969, $0.1525
03/12/2020, $0.1595, 501081, $0.16, $0.1788, $0.155
03/11/2020, $0.1702, 252180, $0.1785, $0.1899, $0.1611
03/10/2020, $0.1751, 296093, $0.198, $0.198, $0.175
03/09/2020, $0.186, 425914, $0.2, $0.225, $0.185
03/06/2020, $0.2049, 128349, $0.1955, $0.23, $0.1955
03/05/2020, $0.1955, 121624, $0.202, $0.215, $0.195
03/04/2020, $0.2047, 131564, $0.219, $0.219, $0.2001
03/03/2020, $0.2066, 218604, $0.201, $0.2349, $0.195
03/02/2020, $0.2099, 325051, $0.2051, $0.211, $0.194
02/28/2020, $0.2012, 156647, $0.2125, $0.235, $0.1932
02/27/2020, $0.235, 281152, $0.241, $0.25, $0.225
02/26/2020, $0.2488, 136703, $0.2515, $0.2549, $0.2402
02/25/2020, $0.25, 225282, $0.2465, $0.27, $0.243
02/24/2020, $0.2402, 443677, $0.255, $0.275, $0.2401
02/21/2020, $0.2685, 58935, $0.2799, $0.2799, $0.265
02/20/2020, $0.2725, 200572, $0.27, $0.2799, $0.26
02/19/2020, $0.261, 115871, $0.272, $0.28, $0.26
02/18/2020, $0.279, 171823, $0.28, $0.28, $0.271
02/14/2020, $0.277, 96276, $0.279, $0.279, $0.27
02/13/2020, $0.2702, 79485, $0.2799, $0.2799, $0.265
02/12/2020, $0.275, 144394, $0.2825, $0.285, $0.2701
02/11/2020, $0.2805, 158133, $0.2845, $0.29, $0.2801
02/10/2020, $0.2889, 100341, $0.2833, $0.29, $0.281
02/07/2020, $0.2835, 93144, $0.29, $0.3, $0.28
02/06/2020, $0.2925, 60730, $0.282, $0.304, $0.282
02/05/2020, $0.29, 134135, $0.3, $0.31, $0.281
02/04/2020, $0.295, 186908, $0.281, $0.299, $0.281
02/03/2020, $0.2902, 223866, $0.3, $0.31, $0.29
01/31/2020, $0.3099, 129355, $0.31, $0.3281, $0.301
01/30/2020, $0.31, 302589, $0.326, $0.33, $0.3
01/29/2020, $0.33, 1399134, $0.38, $0.3854, $0.3
01/28/2020, $0.3713, 1487306, $0.36, $0.4066, $0.36
01/27/2020, $0.359, 2108959, $0.245, $0.365, $0.245
01/24/2020, $0.2544, 186510, $0.257, $0.27, $0.2497
01/23/2020, $0.255, 157073, $0.265, $0.265, $0.25
01/22/2020, $0.25, 512497, $0.235, $0.265, $0.235
01/21/2020, $0.25, 2035219, $0.23, $0.2511, $0.202
01/17/2020, $0.23, 738986, $0.205, $0.24, $0.1968
