search_criteria,job_title,company_name,experience,salary,location,experience_description,skills_required,days_posted
Information Technology,Technical Design Expert- Technology Acceleration,Novartis Healthcare Pvt. Ltd.,4-6 Yrs,Not disclosed,Hyderabad," Your responsibilities include, but are not limited to: Defining the architecture of a s...","Solution architecture,Partner development,Architecture,Technical design,Architectural design,Legal,Healthcare,System design",PREMIUM
Information Technology,Service Performance Expert,Novartis Healthcare Pvt. Ltd.,5-7 Yrs,Not disclosed,Hyderabad," Your responsibilities include, but are not limited to : Define and create the overall s...","Partner management,Training,Performance management,Business analysis,Process improvement,Legal,Data analytics,Management",5 Days Ago
Information Technology,Senior Software Engineer,Cubic Transportation Systems India Pvt. Ltd.,3-5 Yrs,Not disclosed,Hyderabad, Job Details: iOS and Android developer US - 2 This position is a support and operations...,"Google Analytics,Publishing,Networking,Coding,JSON,Scrum,Information technology,SDLC",24 Days Ago
Information Technology,Senior Software Engineer - Windows C# .Net,Cubic Transportation Systems India Pvt. Ltd.,5-10 Yrs,Not disclosed,Hyderabad," Job Details: TECHNICAL SKILLS: C# - Generics, LINQ, Win Forms, Anonymous functions Web ...","C++,LINQ,Networking,XML,Debugging,HTTP,JSON,Windows",27 Days Ago
Information Technology,Senior Software Engineer - Back office,Cubic Transportation Systems India Pvt. Ltd.,3-5 Yrs,Not disclosed,Hyderabad, Job Details: Job Summary: Performs complex software engineering assignments following d...,"UI development,Hibernate,Software design,Networking,Coding,Back office,Support services,Unit testing",30+ Days Ago
Information Technology,Senior Software Engineer - Hyd Back office,Cubic Transportation Systems India Pvt. Ltd.,3-5 Yrs,Not disclosed,Hyderabad, Job Details: Job Summary: Performs complex software engineering assignments following d...,"UI development,Hibernate,Software design,Networking,Coding,Back office,Support services,Unit testing",30+ Days Ago
Information Technology,Senior Software Engineer - Back Office - Java,Cubic Transportation Systems India Pvt. Ltd.,3-5 Yrs,Not disclosed,Hyderabad, Job Details: Job Summary: Performs complex software engineering assignments following d...,"UI development,Hibernate,Software design,Networking,Coding,Back office,Support services,Unit testing",30+ Days Ago
Information Technology,Senior Software Engineer - Back office,Cubic Transportation Systems India Pvt. Ltd.,2-4 Yrs,Not disclosed,Hyderabad, Job Details: Job Summary: Performs complex software engineering assignments following d...,"UI development,Hibernate,Software design,Networking,Coding,Back office,Support services,Unit testing",30+ Days Ago
Information Technology,Database Analyst 4,Wells Fargo India Solutions Pvt. Ltd.,9-10 Yrs,Not disclosed,Hyderabad, About the Role As Senior dba will be owning the support of databases in Banking Domain....,"Automation,Networking,Disaster recovery,Database,Manager Technology,Oracle DBA,Information technology,infrastructure services",30+ Days Ago
Information Technology,Security Architect   Public Cloud,Novartis Healthcare Pvt. Ltd.,12-18 Yrs,Not disclosed,Hyderabad, Job Description Your responsibilities included but are not limited to : Develops and ma...,"IT services,security architect,Network administration,Linux,Information security,PAAS,Windows,Risk management",PREMIUM
Information Technology,Database Analyst 4,Wells Fargo India Solutions Pvt. Ltd.,9-10 Yrs,Not disclosed,Hyderabad, About the Role As Senior dba will be owning the support of databases in Banking Domain....,"Automation,Networking,Disaster recovery,Database,Manager Technology,Oracle DBA,Information technology,infrastructure services",30+ Days Ago
Information Technology,Database Analyst 4,Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,Hyderabad, About the Role A Senior DBA(DBA 4) in will be supporting the databases in Banking Domai...,"Automation,Networking,Disaster recovery,microsoft,Information technology,Distribution system,infrastructure services,Analytics",30+ Days Ago
Information Technology,Database Analyst 3,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role A DBA(DBA 3) in will be supporting the databases in Banking Domain. This...,"Automation,Monitoring tools,Networking,Disaster recovery,Database,Information technology,Distribution system,infrastructure services",30+ Days Ago
Information Technology,Sitel Hyderabad - Hiring For International Voice(us) Process Day job,Sitel India Pvt Ltd,0-2 Yrs,Not disclosed,Hyderabad," Hi All, Greetings from SITEL MumbaiHIRING FOR TECHNICAL/ CUSTOMER SERVICE (VOICE PROCES...","Btech,information technology,software,trouble shooting,customer service,IT,Computer science,technical support",HOT JOB
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,12-15 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Department Overview Payments, Virtual Solutions, and Innovation /Community Bank Technol...","Computer science,Business services,Front end,agile project management,Retail banking,Banking,Javascript,Scrum",16 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This position is for Data Analyst / ETL working in CLCR (Consumer Lendin...,"Automation,Db2,Analytical,Agile,Application development,Teradata,Information technology,Analytics",PREMIUM
Information Technology,Info Security Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,3-6 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role: This position will provide security solutions engineering for all Cloud...,"VMware,Automation,Application support,Linux,Information security,Agile,Windows,Troubleshooting",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-9 Yrs,Not disclosed,"Bengaluru, Hyderabad", Job description About Role: The Trust Services team is responsible for designing and bu...,"Business services,Data analysis,SOA,Wealth management,Agile,application architecture,data mapping,Investment management",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", Job description About the Role This position is for ETL developer working in CLCR (Cons...,"System testing,Automation,Db2,software quality,Teradata,Information technology,SDLC,Unix shell scripting",30+ Days Ago
Information Technology,Info Security Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-8 Yrs,Not disclosed,"Bengaluru, Hyderabad", Job description About the Role: This position will provide security solutions engineeri...,"VMware,Automation,Application support,Linux,Information security,Agile,Windows,Troubleshooting",30+ Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Job description About the Role The Apps System Engineer 5 role is responsible to plan, ...","Merchant services,Automation,Data modeling,Coding,Database design,Application development,Troubleshooting,Information technology",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", Job description About the Role Responsible for understanding mathematical logics and ma...,"Automation,tableau,Data management,data manipulation,data governance,Predictive modeling,Scrum,Comparative analysis",30+ Days Ago
Information Technology,Oper Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,2-5 Yrs,Not disclosed,"Bengaluru, Hyderabad", Team: Puppet/OpenStack SRE Team description: The SRE team within Hosting Integration Se...,"Unix,Business services,VMware,Automation,Service level,Configuration management,Data collection,Windows",PREMIUM
Information Technology,Systems Development Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,3-6 Yrs,Not disclosed,"Bengaluru, Hyderabad", Jobs description About the role Build a payment system that is highly scalable and able...,"Mining,Business services,Payment systems,Machine learning,Manager Technology,Data structures,openstack,Subject Matter Expert",30+ Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"UI development,Object oriented design,Simulation,Db2,Coding,Debugging,Agile,Application development",30+ Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Hibernate,Db2,Coding,XML,Web development,Debugging,Agile,HTML",30+ Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Business services,Simulation,Wealth management,Coding,Analytical,Debugging,Agile,Application development",30+ Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"UI development,Object oriented design,Simulation,Db2,Coding,Debugging,Javascript,Agile",30+ Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT Enginee...,"Backend,Simulation,Coding,oracle coherence,Debugging,Agile,Application development,JSON",30+ Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Hibernate,Db2,Coding,XML,Web development,Debugging,Agile,HTML",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"UI development,Object oriented design,Simulation,Wealth management,Db2,Coding,Debugging,Agile",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"UI development,Object oriented design,Simulation,Db2,Coding,Debugging,Agile,Application development",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Hibernate,Db2,Coding,XML,Web development,Debugging,Agile,HTML",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"UI development,Object oriented design,Simulation,Wealth management,Db2,Coding,Debugging,Agile",30+ Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Position for Digital Channel Technology group. This position is based ou...,"Computer science,Business services,Front end,agile project management,Retail banking,Banking,Javascript,Scrum",23 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",24 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,10-12 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",24 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Automation,Conflict resolution,agile project management,Retail banking,Scrum,J2Ee,JIRA",24 Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,12-15 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",25 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Hibernate,Db2,Coding,XML,Web development,Debugging,Agile,HTML",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,5-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Hibernate,Db2,Coding,XML,Web development,Debugging,Agile,HTML",30+ Days Ago
Information Technology,Systems Development Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,3-6 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is a senior role that will work on building and implementing fricti...,"Manager Quality Assurance,RDBMS,MySQL,Agile,Application development,Unit testing,Oracle,Information technology",PREMIUM
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,10-12 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",26 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",26 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",26 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,10-12 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be working on new scrum team within Digital Channel Tec...,"Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",26 Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,12-17 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Responsibilities: 12+ years of overall experience in IT industry Guide, coach and motiv...","Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",27 Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,12-17 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Responsibilities: 12+ years of overall experience in IT industry Guide, coach and motiv...","Computer science,Automation,Conflict resolution,agile project management,Retail banking,Scrum,J2Ee,JIRA",27 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,12-17 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Responsibilities: 12+ years of overall experience in IT industry Guide, coach and motiv...","Computer science,Automation,Conflict resolution,agile project management,Retail banking,Scrum,J2Ee,JIRA",27 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,6-11 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Responsibilities: 6+ years of overall experience in IT industry Guide, coach and motiva...","Computer science,Automation,Conflict resolution,agile project management,Retail banking,Scrum,J2Ee,JIRA",27 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,5-10 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Responsibilities: 5+ years of overall experience in IT industry Guide, coach and motiva...","Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",27 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,10-15 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Responsibilities: 10+ years of overall experience in IT industry Guide, coach and motiv...","Computer science,Business services,Conflict resolution,agile project management,Time management,Retail banking,Scrum,J2Ee",27 Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad"," About the Role: Senior Java Developer with good Design, hands on development technical ...","Performance tuning,Production support,Test strategy,Enterprise applications,TDD,JSON,Product design,MVC",30+ Days Ago
Information Technology,Oper Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,2-5 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Role description: The SREs in our team build solutions to enhance availability, perform...","Unix,Business services,VMware,Automation,Service level,Configuration management,Data collection,Windows",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,8-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This position is for ETL developer working in CLCR (Consumer Lending Cre...,"Business services,System testing,Db2,Analytical,software quality,Teradata,Information technology,SDLC",PREMIUM
Information Technology,Web Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,3-6 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Acts in a lead technical role providing technical guidance and consultat...,"Unix,Application support,IIS,Weblogic,Perl,Windows,Middleware,Information technology",PREMIUM
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Hibernate,Db2,Coding,XML,Web development,Debugging,Agile,HTML",30+ Days Ago
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT. Respon...,"Hibernate,Db2,Coding,XML,Web development,Debugging,Agile,HTML",30+ Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Key Responsibilities: Involve in end end lifecycle of Product/Application development, ...","Business services,Simulation,Wealth management,Coding,Debugging,Mentor,Application development,Technical Staff",PREMIUM
Information Technology,Oper Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,2-5 Yrs,Not disclosed,"Bengaluru, Hyderabad"," About the Role Provides technical consultation, systems development and support associa...","Business services,Operating systems,Infrastructure management,PAAS,Agile,Hardware,Individual Contributor,Application software",30+ Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,12-15 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT Enginee...,"Backend,Simulation,Wealth management,Coding,Analytical,Debugging,Agile,Application development",PREMIUM
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,10-15 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT Enginee...,"Backend,Simulation,Coding,oracle coherence,Debugging,Agile,Application development,JSON",PREMIUM
Information Technology,Apps Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT Enginee...,"Object oriented design,Backend,Wealth management,Analytical,Agile,Application development,JSON,Troubleshooting",PREMIUM
Information Technology,Product Support Engineer,OpsRamp,1-6 Yrs,Not disclosed,Hyderabad, About the Role Provide enterprise-level assistance to our customers. You will diagnose ...,"Networking,Linux,Technical writing,MySQL,microsoft,cisco,Information technology,Technical support",30+ Days Ago
Information Technology,"Online Teacher(Hiring For PAN India location, WFH)",MINDCRAFT TRAININGS ,0-5 Yrs,"3,50,000 - 8,50,000 PA.","Other National Locations, Mumbai, Hyderabad", Work from Home opportunity You’ll teach students aged 6-18 years coding to generate cre...,"work from home,Application Programming,Java,C++,CSS,C,Software Testing,HTML",3 Days Ago
Information Technology,Visio Tool Expert (Freelance),BM Global Solutions  ,1-4 Yrs,"2,00,000 - 3,00,000 PA.","Delhi NCR, Mumbai, Bengaluru, Hyderabad"," Should have the Visio tool software tool. Should know to make diagrams, pivot diagram. ...","freelance,MS Visio,IT,Information Technology",4 Days Ago
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,5-8 Yrs,Not disclosed,Hyderabad, Responsibilities This position is for ETL Development and Data validation role in Corpo...,"Unix,Business services,SAN,Data analysis,Analytical,Oracle,Information technology,Data warehousing",18 Days Ago
Information Technology,Technology Manager 5,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad," About the Role The candidate will lead a team of senior developers, database analysts a...","Automation,Production support,Data modeling,SSRS,Workflow,Teradata,microsoft,Information technology",PREMIUM
Information Technology,Consultant,ICRISAT,10-15 Yrs,Not disclosed,Hyderabad, Scope of Work The consultant will carry out the following activities: Assess the maturi...,"IT services,CVS,Automation,Data management,Enterprise architecture,Video conferencing,Gap analysis,Information technology",4 Days Ago
Information Technology,"Manager Software Engineering, Customer Service Technology","Fanatics, Inc.",4-8 Yrs,Not disclosed,Hyderabad, This role will lead India- based software engineering team responsible for Technology t...,"Product management,Supply chain,Enterprise architecture,Agile,Customer service,Troubleshooting,Risk management,Project delivery",30+ Days Ago
Information Technology,Project Manager,Ayan Consultancy,0-3 Yrs,Not disclosed,"Ahmedabad, Bengaluru, Hyderabad", Assist Project Manager Project to complete the project in time and within the budget. P...,"Project analysis,Project management,Budgeting,Information technology",30+ Days Ago
Information Technology,US HR Operations Trainee | HR,Ram IT Solutions,0-1 Yrs,Not disclosed,"Bengaluru, Hyderabad, Gurgaon", 2.Good communication skills 3.Strategic sourcing skills and understanding of recruitmen...,"IT services,Service management,Performance management,Infrastructure management,Employee engagement,Management consulting,Strategic sourcing,Information technology",30+ Days Ago
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role You will work as part of the BPM Platform Support team to support applic...,"Process design,Automation,Image processing,Business analysis,Process improvement,Back office,Application development,Stakeholder management",30+ Days Ago
Information Technology,Senior Technology Specialist (Java/Selenium),Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role Provides technical consultation and support in the development of comput...,"Maven,Automation,Core Java,Version control,Test strategy,Coding,Agile,Selenium",30+ Days Ago
Information Technology,Senior Technology Specialist (Java/Selenium),Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role Provides technical consultation and support in the development of comput...,"Maven,Automation,Core Java,Version control,Test strategy,Coding,Agile,Selenium",30+ Days Ago
Information Technology,Technology Lead - MSBI,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,Hyderabad, Responsibilities Acts as a lead in providing effective data flow/DataMart design guidan...,"Automation,Data management,Coding,SSRS,Agile,Scrum,SSIS,Information technology",30+ Days Ago
Information Technology,Technology Lead - MSBI,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,Hyderabad, Responsibilities Acts as a lead in providing effective data flow/DataMart design guidan...,"Automation,Data management,Coding,SSRS,Agile,Scrum,SSIS,Information technology",30+ Days Ago
Information Technology,Technology Lead - MSBI,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,Hyderabad, About the Role This is a role with developer/Designer and lead capabilities for ETL Dev...,"Automation,Data management,Coding,SSRS,Agile,Scrum,SSIS,Information technology",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role This is a technical hands-on management position primarily responsible f...,"Manager Quality Assurance,Simulation,Coding,Application development,Pega,Unit testing,Project delivery,Middleware",PREMIUM
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,5-9 Yrs,Not disclosed,Hyderabad, Job description About the Role Role is responsible for providing technical support and ...,"Maven,Hibernate,Application support,github,Application development,Selenium,Information technology,Technical support",PREMIUM
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,Hyderabad, Job description About the Role Role is responsible for providing technical support and ...,"Hibernate,Automation,Application support,jQuery,Manager Technology,Application development,High level design,Information technology",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role: Is responsible for managing a mid-size technology work unit or a number...,"Relationship management,Business services,Application support,Simulation,Diagnostics,Architecture,Resourcing,Manager Technology",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad," About the Role As part of Wells Fargo Technology team, this is a management position re...","Automation,Coding,Enterprise architecture,Agile,Application development,Agile methodology,Risk management,Project delivery",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad," Department Overview CTO team consists of Middleware , DevOps & Cloud services and is pa...","Business services,Manager Quality Assurance,Simulation,Coding,Application development,Unit testing,Project delivery,Middleware",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad," About the Role As part of Wells Fargo Technology team, this is a management position re...","Automation,Coding,Enterprise architecture,Agile,Application development,Agile methodology,Risk management,Project delivery",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad," Department Overview CTO team consists of Middleware , DevOps & Cloud services and is pa...","Business services,Manager Quality Assurance,Simulation,Coding,Application development,Unit testing,Project delivery,Middleware",PREMIUM
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, We re looking for a seasoned technology manager to build and lead a team of up to 20 FT...,"Computer science,Production support,Data management,Data modeling,Workflow,Oracle,Teradata,Information technology",PREMIUM
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,5-8 Yrs,Not disclosed,Hyderabad, About the Role The position will be working on the CRST-Sales and fulfillment applicati...,"Performance tuning,Automation,SOA,WCF Services,ASP.Net MVC,Middleware,Information technology,SDLC",30+ Days Ago
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role Experience in software development and implementation in an enterprise e...,"Automation,TDD,Design development,Process excellence,Pega,Agile methodology,Information technology,SDLC",PREMIUM
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,8-9 Yrs,Not disclosed,Hyderabad, Learn more about EGS at our International Careers website. Department Overview Payments...,"Computer science,Business services,Linux,Enterprise architecture,MIS,Windows,Risk management,Middleware",30+ Days Ago
Information Technology,Technology Manager 5,Wells Fargo India Solutions Pvt. Ltd.,6-9 Yrs,Not disclosed,Hyderabad, About the Role This is a technical hands-on management position primarily responsible f...,"Business services,Simulation,Coding,Enterprise architecture,Agile,Application development,Risk management,Project delivery",PREMIUM
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,5-8 Yrs,Not disclosed,Hyderabad," About the Role Primary role will be automation of data validations, functional validati...","Backend,Manager Quality Assurance,Project management,Functional testing,Debugging,Reconciliation,Scheduling,Agile methodology",26 Days Ago
Information Technology,Technology Manager 4,Wells Fargo India Solutions Pvt. Ltd.,12-17 Yrs,Not disclosed,Hyderabad," About the Role The candidate will lead a team of senior developers, database analysts a...","Automation,Production support,Data management,Data modeling,Workflow,Teradata,microsoft,Information technology",PREMIUM
Information Technology,Senior Technology Specialist,Wells Fargo India Solutions Pvt. Ltd.,3-5 Yrs,Not disclosed,Hyderabad, About the Role Resource will work as an independent contributor for applications in Fin...,"Performance tuning,MS SQL,Database design,SSRS,JSON,Stored procedures,Oracle,SSIS",30+ Days Ago
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,7-11 Yrs,Not disclosed,Hyderabad, About the Role The position will be working on the CRST-Sales and fulfillment applicati...,"Performance tuning,Automation,NoSQL,SOA,Enterprise applications,enterprise mobility,Product design,Information technology",PREMIUM
