search_criteria,job_title,company_name,experience,salary,location,experience_description,skills_required,days_posted
Information Technology,Senior Technology Specialist (Java/Selenium Automation),Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,"Bengaluru, Hyderabad"," Responsibilities Develop/Maintain the different flavors of framework- Data Driven, Keyw...","Maven,Automation,Manager Quality Assurance,Agile,Test planning,Regression testing,Selenium,Test cases",PREMIUM
Information Technology,Technology Lead (Java/Selenium Automation),Wells Fargo India Solutions Pvt. Ltd.,10-15 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is an Automation tester position for automation regression maintena...,"Maven,Automation,Manager Quality Assurance,Agile,Test planning,Regression testing,Selenium,Test cases",PREMIUM
Information Technology,Senior Technology Specialist (Java/Selenium Automation),Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is an Automation tester position for automation regression maintena...,"Maven,Automation,Manager Quality Assurance,Agile,Test planning,Regression testing,Selenium,Test cases",PREMIUM
Information Technology,Senior Technology Specialist (Java/Selenium Automation),Wells Fargo India Solutions Pvt. Ltd.,6-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role This is an Automation tester position for automation regression maintena...,"Maven,Automation,Manager Quality Assurance,Agile,Test planning,Regression testing,Selenium,Test cases",PREMIUM
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,6-8 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role You will work to Operational Applications team in Enterprise Contact Cen...,"Computer science,Process automation,Automation,MIS,QA testing,Oracle,Information technology,Operations",PREMIUM
Information Technology,Fresher / Entry Level Position For Software Engineer - Hyderabad,Dhruvsoft Services Pvt Ltd  ,0-0 Yrs,Not disclosed,Hyderabad, BTech / BE (CSE / IT) or MCA Freshers (2019 and 2020 Passouts)Qualification: B.tech or ...,"Entry Level,Application Programming,Software Engineering,B.E,IT,Information Technology",HOT JOB
Information Technology,Senior Software Engineer,Cubic Transportation Systems India Pvt. Ltd.,3-5 Yrs,Not disclosed,Hyderabad, Job Details: Job Summary: Performs complex software engineering assignments following d...,"Computer science,Core Java,Networking,Coding,Debugging,Support services,Troubleshooting,Information technology",1 Day Ago
Information Technology,Software Engineer - Niche,legatohealthcom,2-5 Yrs,Not disclosed,Hyderabad, Coordinates operations support and application maintenance functions pertaining to the ...,"Root cause analysis,operational support,Network operations,Infrastructure,Incident management,Information technology",5 Days Ago
Information Technology,Apps Systems Engineer,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role: Team member will be working on Application Development work in WIMT Enginee...,"Web services,Simulation,Coding,oracle coherence,Debugging,Agile,Application development,JSON",2 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Web Accessibility Specialist with hands on experience and knowledge of W...,"Computer science,Business services,Manager Quality Assurance,Test scripts,Javascript,Test scenarios,HTML,Information technology",4 Days Ago
Information Technology,Apps Systems Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,4-7 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Web Accessibility Specialist with hands on experience and knowledge of W...,"Computer science,Business services,Manager Quality Assurance,Test scripts,Javascript,Test scenarios,HTML,Information technology",4 Days Ago
Information Technology,Apps Systems Engineer 6,Wells Fargo India Solutions Pvt. Ltd.,2-12 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role: FCL Collateral and Regulatory requirements 2020: New hire will be respo...,"Application support,Automation,Fixed income,Analytical,PLSQL,Investment banking,Information technology,Analytics",4 Days Ago
Information Technology,Application Systems Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,9-12 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team Member Mobility is looking for a Cross platform app developer who w...,"TCP,Automation,MS SQL,Coding,Enterprise applications,Debugging,Javascript,JSON",8 Days Ago
Information Technology,Network Engineer 4,Wells Fargo India Solutions Pvt. Ltd.,7-10 Yrs,Not disclosed,"Bengaluru, Hyderabad", About Role Team member will be part of network engineering team Responsibilities Design...,"Networking,WAN,LAN,Visio,CCNA,cisco,Information technology,Distribution system",PREMIUM
Information Technology,Network Engineer 5,Wells Fargo India Solutions Pvt. Ltd.,3-6 Yrs,Not disclosed,"Bengaluru, Hyderabad", About the Role Team member will be part of network engineering team Designing LAN and W...,"Cloud computing,Automation,Networking,WAN,LAN,Visio,cisco,Information technology",PREMIUM
Information Technology,Technology Lead,Wells Fargo India Solutions Pvt. Ltd.,9-14 Yrs,Not disclosed,Hyderabad," About the Role You will work as part of the TAX team, lead development of TCP tier 1 , ...","TCP,Automation,jQuery,Coding,Debugging,Javascript,Agile,WCF",PREMIUM
Information Technology,Automation Engineer - Python,"CDK GLOBAL, LLC.",0-3 Yrs,Not disclosed,Hyderabad," Job Responsibilities: Writing Proton-Blueprint scripts for workflow, process, installat...","Linux,Javascript,Flex,Workflow,Perl,Digital marketing,Information technology,Automotive",3 Days Ago
Information Technology,Automation Engineer - Python,CDK GLOBAL (INDIA) PRIVATE LIMITED,0-3 Yrs,Not disclosed,Hyderabad," Job Responsibilities: o Writing Proton-Blueprint scripts for workflow, process, install...","IT Skills,Python,Software Development,Javascript,Salesforce,Automation,Linux,Javascript",3 Days Ago
Information Technology,Product Support Engineer,Sahasya Global Solutions,0-2 Yrs,Not disclosed,Hyderabad, Product Support Engineer at Sahasya Global Solutions Pvt. Ltd. (2 Opening) Work Experie...,"technical,software,System programming,testing,it,Troubleshooting,Information technology,Product support",30+ Days Ago
Information Technology,Network-Engineer-1-1,"Advanced Micro Devices, Inc.",0-2 Yrs,Not disclosed,Hyderabad, •Experience as a Network Administrator & hands-on experience in the above areas will be...,"Telecom,Networking,WAN,Network security,CCNA,Troubleshooting,Information technology,cisco",30+ Days Ago
