search_criteria,course_name,course_description,rating,no_of_reviews,duration,lectures,levels,badge,original_price,discounted_price
data science,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,82200.0,25.0,165.0,All Levels,,12480.0,455.0
data science,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!,4.6,51779.0,8.5,78.0,All Levels,,12800.0,455.0
data science,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",4.6,33698.0,10.5,82.0,All Levels,,12800.0,455.0
data science,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,4.6,11334.0,18.0,127.0,All Levels,,12480.0,455.0
data science,Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",4.5,16017.0,5.0,92.0,All Levels,,9600.0,455.0
data science,Python A-Z™: Python For Data Science With Real Exercises!,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",4.6,16545.0,11.0,75.0,All Levels,,12800.0,455.0
data science,Data Science and Machine Learning Bootcamp with R,Learn how to use the R programming language for data science and machine learning and data visualization!,4.6,11334.0,18.0,127.0,All Levels,,12480.0,455.0
data science,Tableau 20 Advanced Training: Master Tableau in Data Science,Master Tableau 20 in Data Science by solving Real-Life Analytics Problems. Learn Visualisation and Data Mining by doing!,4.7,10507.0,10.0,74.0,Intermediate,,12800.0,455.0
data science,Data Science: Deep Learning in Python,"The MOST in-depth look at neural network theory, and how to code one with pure Python and Tensorflow",4.5,6645.0,11.0,89.0,Intermediate,,12800.0,455.0
data science,Statistics for Business Analytics and Data Science A-Z™,"Learn The Core Stats For A Data Science Career. Master Statistical Significance, Confidence Intervals And Much More!",4.4,6721.0,6.0,42.0,All Levels,,12800.0,455.0
data science,Power BI A-Z: Hands-On Power BI Training For Data Science!,Learn Microsoft Power BI for Data Science and Data Analytics. Build visualizations and BI reports with Power BI Desktop,4.4,8977.0,4.5,44.0,All Levels,,12800.0,455.0
data science,Introduction to Machine Learning for Data Science,"A primer on Machine Learning for Data Science.  Revealed for everyday people, by the Backyard Data Scientist.",4.4,5187.0,5.5,61.0,Beginner,,12800.0,455.0
data science,A-Z Machine Learning using Azure Machine Learning (AzureML),"Azure ML (Machine Learning): Azure Machine Learning Studio, Machine Learning on cloud, Machine Learning without coding",4.5,2556.0,11.0,91.0,All Levels,,6400.0,455.0
data science,R Programming: Advanced Analytics In R For Data Science,"Take Your R & R Studio Skills To The Next Level. Data Analytics, Data Science, Statistical Analysis in Business, GGPlot2",4.7,5948.0,6.0,53.0,Intermediate,,12800.0,455.0
data science,Complete Machine Learning and Data Science: Zero to Mastery,"Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",4.6,4113.0,43.0,369.0,All Levels,,12800.0,455.0
data science,Probability and Statistics for Business and Data Science,Learn how to apply probability and statistics to real data science and business applications!,4.5,3157.0,5.0,53.0,All Levels,,12480.0,455.0
data science,Data Science: Supervised Machine Learning in Python,Full Guide to Implementing Classic Machine Learning Algorithms in Python and with Sci-Kit Learn,4.6,1858.0,6.0,53.0,Beginner,,7680.0,462.0
data science,A-Z Machine Learning using Azure Machine Learning (AzureML),"Azure ML (Machine Learning): Azure Machine Learning Studio, Machine Learning on cloud, Machine Learning without coding",4.5,2556.0,11.0,91.0,All Levels,,6400.0,455.0
data science,R Programming for Statistics and Data Science 2020,R Programming for Data Science & Data Analysis. Applying R for Statistics and Data Visualization with GGplot2 in R,4.5,2275.0,6.5,125.0,All Levels,,12480.0,455.0
data science,Data Science: Supervised Machine Learning in Python,,4.6,1858.0,,,,,,7680.0
data science,Unsupervised Deep Learning in Python,,4.5,1456.0,,,,,,7680.0
data science,Deep Learning: GANs and Variational Autoencoders,,4.5,1774.0,,,,,,11520.0
data science,Data Science Career Guide - Interview Preparation,Prepare for your Data Science Interview with this full guide on a career in Data Science including practice questions!,4.6,1644.0,4.0,110.0,All Levels,,12480.0,455.0
data science,Complete Data Science Training with Python for Data Analysis,Beginners python data analytics : Data science introduction : Learn data science : Python data analysis methods tutorial,4.2,1394.0,13.0,123.0,All Levels,,12800.0,455.0
data science,Intro to Data Science: Your Step-by-Step Guide To Starting,"Learn the critical elements of Data Science, from visualization to databases to Python and more, in just 6 weeks!",4.4,1563.0,5.5,42.0,Beginner,,12800.0,455.0
data science,The Data Science Course 2020: Complete Data Science Bootcamp,"Complete Data Science Training: Mathematics, Statistics, Python, Advanced Statistics in Python, Machine & Deep Learning",4.5,70382.0,29.0,471.0,All Levels,,12800.0,455.0
data science,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",4.6,82200.0,25.0,165.0,All Levels,,12480.0,455.0
data science,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,Learn Tableau 2020 for data science step by step. Real-life data analytics exercises & quizzes included. Learn by doing!,4.6,51779.0,8.5,78.0,All Levels,,12800.0,455.0
data science,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",4.6,33698.0,10.5,82.0,All Levels,,12800.0,455.0
